Bölüm,Ders Adı:,Sınav Tarihi:,Sınav Saati:,Sınıflar
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB203 Nesneye Yönelik Programlama,1/18/2024,17:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB203 Nesneye Yönelik Programlama,1/18/2024,17:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB203 Nesneye Yönelik Programlama,1/18/2024,17:30,E102
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),LMİ104 Mesleki İngilizce II,1/18/2024,19:00,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),LMİ104 Mesleki İngilizce II,1/18/2024,19:00,E202
BİLGİSAYAR MÜHENDİSLİĞİ,BMB319 Mantık Devreleri,1/19/2024,10:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,BMB319 Mantık Devreleri,1/19/2024,10:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,BMB319 Mantık Devreleri,1/19/2024,10:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB319 Mantık Devreleri,1/19/2024,18:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB319 Mantık Devreleri,1/19/2024,18:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,BMB317  Otomata Teorisi,1/22/2024,13:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,BMB317  Otomata Teorisi,1/22/2024,13:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,BMB317  Otomata Teorisi,1/22/2024,13:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ,BMB207 Veritabanı Yönetimi,1/22/2024,15:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,BMB207 Veritabanı Yönetimi,1/22/2024,15:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,BMB207 Veritabanı Yönetimi,1/22/2024,15:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB207 Veritabanı Yönetimi,1/22/2024,15:30,E301
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB207 Veritabanı Yönetimi,1/22/2024,15:30,E302
BİLGİSAYAR MÜHENDİSLİĞİ,TBT001 Temel Bilgi Teknolojileri,1/22/2024,16:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,TBT001 Temel Bilgi Teknolojileri,1/22/2024,16:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,TBT001 Temel Bilgi Teknolojileri,1/22/2024,16:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),TBT001 Temel Bilgi Teknolojileri,1/22/2024,16:30,E301
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),TBT001 Temel Bilgi Teknolojileri,1/22/2024,16:30,E302
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB317  Otomata Teorisi,1/22/2024,17:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB317  Otomata Teorisi,1/22/2024,17:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,DFD002 Diferansiyel Denklemler,1/23/2024,13:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,DFD002 Diferansiyel Denklemler,1/23/2024,13:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,DFD002 Diferansiyel Denklemler,1/23/2024,13:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ,DFD002 Diferansiyel Denklemler,1/23/2024,13:30,E301
BİLGİSAYAR MÜHENDİSLİĞİ,BMSB406 Makine Öğrenmesine Giriş,1/23/2024,15:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,BMSB406 Makine Öğrenmesine Giriş,1/23/2024,15:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMSB406 Makine Öğrenmesine Giriş,1/23/2024,15:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMSB406 Makine Öğrenmesine Giriş,1/23/2024,15:30,E301
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),DFD002 Diferansiyel Denklemler,1/23/2024,17:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),DFD002 Diferansiyel Denklemler,1/23/2024,17:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),DFD002 Diferansiyel Denklemler,1/23/2024,17:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ,FZK107 Fizik I,1/24/2024,13:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,FZK107 Fizik I,1/24/2024,13:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,FZK107 Fizik I,1/24/2024,13:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),FZK107 Fizik I,1/24/2024,17:30,E401
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),FZK107 Fizik I,1/24/2024,17:30,E402
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),FZK107 Fizik I,1/24/2024,17:30,E403
BİLGİSAYAR MÜHENDİSLİĞİ,MAT111 Matematik I,1/25/2024,13:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,MAT111 Matematik I,1/25/2024,13:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,MAT111 Matematik I,1/25/2024,13:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ,İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E301
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E302
BİLGİSAYAR MÜHENDİSLİĞİ,BMB315 Web Programlama,1/25/2024,16:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,BMB315 Web Programlama,1/25/2024,16:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,BMB315 Web Programlama,1/25/2024,16:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB315 Web Programlama,1/25/2024,16:30,E301
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMB315 Web Programlama,1/25/2024,16:30,E302
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),MAT111 Matematik I,1/25/2024,17:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),MAT111 Matematik I,1/25/2024,17:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),MAT111 Matematik I,1/25/2024,17:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ,SYA003 Sayısal Analiz,1/26/2024,14:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,SYA003 Sayısal Analiz,1/26/2024,14:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ,SYA003 Sayısal Analiz,1/26/2024,14:30,E203
BİLGİSAYAR MÜHENDİSLİĞİ,SYA003 Sayısal Analiz,1/26/2024,14:30,E301
BİLGİSAYAR MÜHENDİSLİĞİ,BMSB421 Veri Sıkıştırma Yöntemleri,1/26/2024,16:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ,BMSB421 Veri Sıkıştırma Yöntemleri,1/26/2024,16:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMSB421 Veri Sıkıştırma Yöntemleri,1/26/2024,16:30,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),BMSB421 Veri Sıkıştırma Yöntemleri,1/26/2024,16:30,E202
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),SYA003 Sayısal Analiz,1/26/2024,18:00,E201
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),SYA003 Sayısal Analiz,1/26/2024,18:00,E202
BİLGİSAYAR MÜHENDİSLİĞİ (İ.Ö),SYA003 Sayısal Analiz,1/26/2024,18:00,E203
Biyomedikal Mühendisliği,Biyomedikal Mühendisliğine Giriş,1/15/2024,9:30,E002
Biyomedikal Mühendisliği,Türk Dili I,1/15/2024,12:30,E002
Biyomedikal Mühendisliği,Organik Kimya,1/15/2024,11:30,E002
Biyomedikal Mühendisliği,Olasılık Teorisi,1/15/2024,9:30,E002
Biyomedikal Mühendisliği,Medikal Görüntüleme,1/15/2024,10:30,E003
Biyomedikal Mühendisliği,Lineer Cebir,1/16/2024,13:30,E403-E303-E401-E402
Biyomedikal Mühendisliği,Atatürk İlkeleri ve İnkılap Tarihi I,1/16/2024,12:30,E002
Biyomedikal Mühendisliği,Medikal Etik ve Sorumluluk,1/16/2024,9:30,E002
Biyomedikal Mühendisliği,Yabancı Dil I,1/17/2024,12:30,E002
Biyomedikal Mühendisliği,Fizik I,1/17/2024,15:30,E102-E003
Biyomedikal Mühendisliği,Laboratuvar Teknikleri ve Kimyasal Analizler,1/17/2024,9:30,E002
Biyomedikal Mühendisliği,Biyomedikal İşaret İşleme,1/17/2024,10:30,E003
Biyomedikal Mühendisliği,Sinyaller ve Sistemler,1/18/2024,10:30,E002
Biyomedikal Mühendisliği,Sinyaller ve Sistemler,1/18/2024,10:30,E003
Biyomedikal Mühendisliği,Sayısal Analiz,1/19/2024,9:30,E002-
Biyomedikal Mühendisliği,Mikroişlemcili Sistem Tasarımı,1/19/2024,11:30,E003
Biyomedikal Mühendisliği,Üniversite Seçimlilik Dersi,1/19/2024,15:30,E201
Biyomedikal Mühendisliği,Matematik I,1/22/2024,8:30,E002-E001
Biyomedikal Mühendisliği,Mesleki İngilizce II,1/22/2024,15:30,E002
Biyomedikal Mühendisliği,Elektromanyetik Alan Teorisi,1/22/2024,13:30,E002
Biyomedikal Mühendisliği,Elektromanyetik Alan Teorisi,1/22/2024,13:30,E003
Biyomedikal Mühendisliği,Yabancı Dilde Okuma ve Konuşma,1/23/2024,15:30,E002
Biyomedikal Mühendisliği,Diferansiyel Denklemler,1/23/2024,13:30,E003
Biyomedikal Mühendisliği,Biyomedikal Elektroniği Laboratuvarı I,1/23/2024,16:30,E002
Biyomedikal Mühendisliği,BMM'de Bilgisayar Yöntemleri,1/24/2024,14:30,E002
Biyomedikal Mühendisliği,Ortopedik ve Dental Malzemeler,1/24/2024,15:30,E002
Biyomedikal Mühendisliği,Biyonanomalzemeler,1/24/2024,15:30,E002
Biyomedikal Mühendisliği,Teşhis ve Tedavide Kullanılan Radyafarmasötikler,1/24/2024,13:30,E002
Biyomedikal Mühendisliği,Teşhis ve Tedavide Kullanılan Radyafarmasötikler,1/24/2024,13:30,E003
Biyomedikal Mühendisliği,Temel Bilgi Teknolojileri,1/25/2024,8:30,E001-E002-E303-E401
Biyomedikal Mühendisliği,Biyomedikal Elektroniği I,1/25/2024,13:30,E002
Biyomedikal Mühendisliği,Biyomedikal Elektroniği I,1/25/2024,13:30,E003
Biyomedikal Mühendisliği,İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E002-E102
Biyomedikal Mühendisliği,Mühendisler için Temel Yönetim Becerileri,1/25/2024,16:30,E003-E102
Biyomedikal Mühendisliği,Biyolojik ve Medikal Fizik,1/26/2024,13:30,E002
Endüstri Mühendisliği,Türk Dili I,1/15/2024,12:30,E303
Endüstri Mühendisliği,Türk Dili I,1/15/2024,12:30,E401
Endüstri Mühendisliği,Maliyet Muhasebesi,1/15/2024,13:30,E402
Endüstri Mühendisliği,Maliyet Muhasebesi,1/15/2024,13:30,E403
Endüstri Mühendisliği,Sosyal Seçmeli Ders I (Genel Sanat Tarihi),1/15/2024,15:00,E402
Endüstri Mühendisliği,Sosyal Seçmeli Ders I (Genel Sanat Tarihi),1/15/2024,15:00,E403
Endüstri Mühendisliği,Fizik I,1/15/2024,15:30,E303
Endüstri Mühendisliği,Fizik I,1/15/2024,15:30,E401
Endüstri Mühendisliği,Fizik I,1/15/2024,15:30,E402
Endüstri Mühendisliği,Atatürk İlkeleri ve İnkılap Tarihi I,1/16/2024,12:30,E303
Endüstri Mühendisliği,Atatürk İlkeleri ve İnkılap Tarihi I,1/16/2024,12:30,E401
Endüstri Mühendisliği,Lineer Cebir,1/16/2024,13:30,E303
Endüstri Mühendisliği,Lineer Cebir,1/16/2024,13:30,E401
Endüstri Mühendisliği,Lineer Cebir,1/16/2024,13:30,E402
Endüstri Mühendisliği,Teknik Seçmeli Ders I (Karar Analizi),1/16/2024,15:00,E402
Endüstri Mühendisliği,Teknik Seçmeli Ders I (Karar Analizi),1/16/2024,15:00,E403
Endüstri Mühendisliği,Teknik Seçmeli Ders VIII (Bulanık Mantık),1/16/2024,16:30,E303
Endüstri Mühendisliği,Teknik Seçmeli Ders VIII (Bulanık Mantık),1/16/2024,16:30,E401
Endüstri Mühendisliği,Yabancı Dil I (İngilizce),1/17/2024,12:30,E303
Endüstri Mühendisliği,Yabancı Dil I (İngilizce),1/17/2024,12:30,E401
Endüstri Mühendisliği,Matematik I,1/17/2024,13:30,E303
Endüstri Mühendisliği,Matematik I,1/17/2024,13:30,E401
Endüstri Mühendisliği,Matematik I,1/17/2024,13:30,E402
Endüstri Mühendisliği,İstatistiksel Kalite Kontrol,1/17/2024,15:00,E303
Endüstri Mühendisliği,İstatistiksel Kalite Kontrol,1/17/2024,15:00,E401
Endüstri Mühendisliği,İstatistiksel Kalite Kontrol,1/17/2024,15:00,E402
Endüstri Mühendisliği,Ergonomi,1/17/2024,16:30,E303
Endüstri Mühendisliği,Ergonomi,1/17/2024,16:30,E401
Endüstri Mühendisliği,Yöneylem Araştırması I,1/18/2024,12:30,E402
Endüstri Mühendisliği,Yöneylem Araştırması I,1/18/2024,12:30,E403
Endüstri Mühendisliği,Endüstri Mühendisliğine Giriş,1/18/2024,14:30,E303
Endüstri Mühendisliği,Endüstri Mühendisliğine Giriş,1/18/2024,14:30,E401
Endüstri Mühendisliği,Tesis Planlama,1/18/2024,16:30,E402
Endüstri Mühendisliği,Tesis Planlama,1/18/2024,16:30,E403
Endüstri Mühendisliği,Teknik Resim (ACAD),1/19/2024,14:30,E303
Endüstri Mühendisliği,Teknik Resim (ACAD),1/19/2024,14:30,E401
Endüstri Mühendisliği,Teknik Resim (ACAD),1/19/2024,14:30,E402
Endüstri Mühendisliği,Teknik Seçmeli Ders X (İnsan Kaynakları Yönetimi),1/19/2024,15:30,E303
Endüstri Mühendisliği,Teknik Seçmeli Ders X (İnsan Kaynakları Yönetimi),1/19/2024,15:30,E401
Endüstri Mühendisliği,Akademik ve Sosyal Yaşama Giriş,1/22/2024,8:30,E303
Endüstri Mühendisliği,Akademik ve Sosyal Yaşama Giriş,1/22/2024,8:30,E401
Endüstri Mühendisliği,Teknik Seçmeli Ders II (Eko Üretim),1/22/2024,9:30,E303
Endüstri Mühendisliği,Teknik Seçmeli Ders II (Eko Üretim),1/22/2024,9:30,E401
Endüstri Mühendisliği,Malzeme Bilgisi,1/22/2024,10:30,E303
Endüstri Mühendisliği,Malzeme Bilgisi,1/22/2024,10:30,E401
Endüstri Mühendisliği,Malzeme Bilgisi,1/22/2024,10:30,E402
Endüstri Mühendisliği,Teknik Seçmeli Ders (Mesleki İngilizce),1/23/2024,9:30,E303
Endüstri Mühendisliği,Teknik Seçmeli Ders (Mesleki İngilizce),1/23/2024,9:30,E401
Endüstri Mühendisliği,Mühendislik Mekaniği,1/23/2024,10:30,E303
Endüstri Mühendisliği,Mühendislik Mekaniği,1/23/2024,10:30,E401
Endüstri Mühendisliği,Mühendislik Mekaniği,1/23/2024,10:30,E402
Endüstri Mühendisliği,Mühendislik Mekaniği,1/23/2024,10:30,E403
Endüstri Mühendisliği,Üretim Yönetimi,1/24/2024,8:30,E303
Endüstri Mühendisliği,Üretim Yönetimi,1/24/2024,8:30,E401
Endüstri Mühendisliği,Proje Yönetimi,1/24/2024,9:30,E402
Endüstri Mühendisliği,Proje Yönetimi,1/24/2024,9:30,E403
Endüstri Mühendisliği,Genel Ekonomi,1/24/2024,10:30,E402
Endüstri Mühendisliği,Genel Ekonomi,1/24/2024,10:30,E403
Endüstri Mühendisliği,Temel Bilgi Teknolojileri,1/25/2024,8:30,E303
Endüstri Mühendisliği,Temel Bilgi Teknolojileri,1/25/2024,8:30,E401
Endüstri Mühendisliği,Olasılık ve İstatistik I,1/25/2024,9:30,E303
Endüstri Mühendisliği,Olasılık ve İstatistik I,1/25/2024,9:30,E401
Endüstri Mühendisliği,Teknik Seçmeli Ders IX (Çevre Yönetim Sistemi),1/25/2024,11:00,E303
Endüstri Mühendisliği,Teknik Seçmeli Ders IX (Çevre Yönetim Sistemi),1/25/2024,11:00,E401
Endüstri Mühendisliği,İş Sağlığı ve Güvenliği I,1/26/2024,9:30,E303
Endüstri Mühendisliği,İş Sağlığı ve Güvenliği I,1/26/2024,9:30,E401
Endüstri Mühendisliği,Teknik Seçmeli Ders VI (Performans Yönetimi),1/26/2024,10:30,E303
Endüstri Mühendisliği,Teknik Seçmeli Ders VI (Performans Yönetimi),1/26/2024,10:30,E401
Endüstri Mühendisliği,Yönetim ve Organizasyon,1/26/2024,11:30,E303
Endüstri Mühendisliği,Yönetim ve Organizasyon,1/26/2024,11:30,E401
Elktr.Hab.Müh.,EHMB305 Mikro Dalga,1/15/2024,9:30,E102
Elek-Elektro Müh.,EEM209 Devre ve Sistem Analizi,1/15/2024,10:30,E102
Elktr.Hab.Müh.,EHMB209 Devre ve Sistem Analizi,1/15/2024,10:30,E401
Elktr.Hab.Müh.,EHMB209 Devre ve Sistem Analizi,1/15/2024,10:30,E402
Elek-Elektro Müh.,TDİ101 Türk Dili I,1/15/2024,12:30,E003
Elktr.Hab.Müh.,TDİ101 Türk Dili I,1/15/2024,12:30,E402
Elek-Elektro Müh.,FZK107 Fizik I,1/15/2024,15:30,E001
Elktr.Hab.Müh.,FZK107 Fizik I,1/15/2024,15:30,E002
Elktr.Hab.Müh. (İ.Ö.),TDİ101 Türk Dili I,1/15/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMB305 Mikro Dalga,1/15/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMB209 Devre ve Sistem Analizi,1/15/2024,18:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMS 406 Sayısal Elektromagnetik,1/15/2024,18:30,E102
Elktr.Hab.Müh.,EHMS 430 Yapay Sinir Ağlarına Giriş,1/16/2024,9:30,E401
Elktr.Hab.Müh.,EHMS 430 Yapay Sinir Ağlarına Giriş,1/16/2024,9:30,E402
Elek-Elektro Müh.,EEMS301 Analog Haberleşme,1/16/2024,10:30,E401
Elktr.Hab.Müh.,EHMB301 Analog Haberleşme,1/16/2024,10:30,E402
Elek-Elektro Müh.,ATİ101 Atatürk İlkeleri ve İnkılâp Tarihi I,1/16/2024,12:30,E402
Elktr.Hab.Müh.,ATİ101 Atatürk İlkeleri ve İnkılâp Tarihi I,1/16/2024,12:30,E003
Elktr.Hab.Müh.,LIC001 Lineer Cebir,1/16/2024,13:30,E102
Elktr.Hab.Müh. (İ.Ö.),ATİ101 Atatürk İlkeleri ve İnkılâp Tarihi I,1/16/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMS 430 Yapay Sinir Ağlarına Giriş,1/16/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMB301 Analog Haberleşme,1/16/2024,18:30,E102
Elek-Elektro Müh.,TBT001 Temel Bilgi Teknolojileri,1/17/2024,8:30,E401
Elktr.Hab.Müh.,TBT001 Temel Bilgi Teknolojileri Kullanımı,1/17/2024,8:30,E402
Elek-Elektro Müh.,EEM205 Olasılık ve Rassal Değişkenler,1/17/2024,9:30,E401
Elktr.Hab.Müh.,EHMB205 Olasılık ve Rassal Değişkenler,1/17/2024,9:30,E402
Elek-Elektro Müh.,EEM303 Elektronik Devreler II,1/17/2024,10:30,E402
Elktr.Hab.Müh.,EHMB303 Elektronik Devreler,1/17/2024,10:30,E401
Elek-Elektro Müh.,YDİ109 Yabancı Dil I (İngilizce),1/17/2024,12:30,E003
Elek-Elektro Müh.,YDİ109 Yabancı Dil I (İngilizce),1/17/2024,12:30,E402
Elktr.Hab.Müh. (İ.Ö.),YDİ101 Yabancı Dil I (İngilizce),1/17/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMB205 Olasılık ve Rassal Değişkenler,1/17/2024,18:30,E102
Elktr.Hab.Müh. (İ.Ö.),TBT001 Temel Bilgi Teknolojileri Kullanımı,1/17/2024,19:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMB303 Elektronik Devreler,1/17/2024,19:30,E102
Elktr.Hab.Müh.,EHMBL405 Mobil Haberleşme Sistemleri Laboratuarı I,1/18/2024,8:30,E401
Elktr.Hab.Müh.,EHMBL405 Mobil Haberleşme Sistemleri Laboratuarı I,1/18/2024,8:30,E402
Elktr.Hab.Müh.,EHMS 323 Elektromanyetik Dalga Teorisi,1/18/2024,9:30,E102
Elek-Elektro Müh.,EEM107 Bilgisayar Programlama,1/18/2024,11:30,E102
Elek-Elektro Müh.,EEM107 Bilgisayar Programlama,1/18/2024,11:30,E401
Elek-Elektro Müh.,EEM103 Programlamaya Giriş,1/18/2024,11:30,E402
Elek-Elektro Müh.,EEM307 Elektrik Makinaları I,1/18/2024,11:30,E102
Elktr.Hab.Müh. (İ.Ö.),LIC001 Lineer Cebir,1/18/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMBL405 Mobil Haberleşme Sistemleri Laboratuarı I,1/18/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMS 323 Elektromanyetik Dalga Teorisi,1/18/2024,18:30,E102
Elek-Elektro Müh.,SYA002 Sayısal Analiz,1/19/2024,9:30,E102
Elek-Elektro Müh.,SYA002 Sayısal Analiz,1/19/2024,9:30,E401
Elktr.Hab.Müh.,SYA002 Sayısal Analiz,1/19/2024,9:30,E402
Elktr.Hab.Müh.,EHMBL305 Mikro Dalga Laboratuarı,1/19/2024,11:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMBL305 Mikro Dalga Laboratuarı,1/19/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),SYA002 Sayısal Analiz,1/19/2024,18:30,E102
Elek-Elektro Müh.,EEML309 Mikroişlemcili Sistemler Laboratuarı,1/22/2024,13:30,E401
Elktr.Hab.Müh.,EHMBL401 Mikroişlemcili Sistemler Laboratuarı,1/22/2024,13:30,E402
Elek-Elektro Müh.,EEM105 Elektrik ve Elektronik Mühendisliğine Giriş,1/22/2024,15:30,E401
Elek-Elektro Müh.,EEM101 Elektrik ve Elektronik Mühendisliğine Giriş,1/22/2024,15:30,E402
Elek-Elektro Müh.,EEMS315 Kompleks Fonksiyonlar Teorisi,1/22/2024,15:30,E102
Elek-Elektro Müh.,EEM207 Sayısal Tasarım,1/22/2024,16:30,E102
Elktr.Hab.Müh.,EHMB207 Sayısal Tasarım,1/22/2024,16:30,E401
Elktr.Hab.Müh. (İ.Ö.),EHMB207 Sayısal Tasarım,1/22/2024,16:30,E402
Elktr.Hab.Müh. (İ.Ö.),EHMBL401 Mikroişlemcili Sistemler Laboratuarı,1/22/2024,17:30,E102
Elek-Elektro Müh.,EEM309 Mikroişlemcili Sistemler,1/23/2024,13:30,E102
Elek-Elektro Müh.,EEM309 Mikroişlemcili Sistemler,1/23/2024,13:30,E401
Elktr.Hab.Müh.,EHMB401 Mikroişlemcili Sistemler,1/23/2024,13:30,E402
Elktr.Hab.Müh.,EHMBL301 Analog Haberleşme Laboratuarı,1/23/2024,14:30,E401
Elktr.Hab.Müh.,BMMS404 Biyomedikal İşaret İşleme,1/23/2024,15:30,E401
Elktr.Hab.Müh. (İ.Ö.),BMMS404 Biyomedikal İşaret İşleme,1/23/2024,15:30,E402
Elek-Elektro Müh.,EEML303 Elektronik Devreler Laboratuarı II,1/23/2024,16:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMB401 Mikroişlemcili Sistemler,1/23/2024,17:30,E102
Elktr.Hab.Müh. (İ.Ö.),EHMBL301 Analog Haberleşme Laboratuarı,1/23/2024,18:30,E102
Elktr.Hab.Müh.,SBS 403 Mühendislik Etiği,1/24/2024,8:30,E001
Elek-Elektro Müh.,MAT113 Matematik I,1/24/2024,13:30,E401
Elktr.Hab.Müh.,MAT113 Matematik I,1/24/2024,13:30,E402
Elktr.Hab.Müh.,EHMS 420 Mikrodenetleyiciler,1/24/2024,13:30,E102
Elek-Elektro Müh.,MAT202 Diferansiyel Denklemler,1/24/2024,15:30,E102
Elktr.Hab.Müh.,MAT202 Diferansiyel Denklemler,1/24/2024,15:30,E401
Elktr.Hab.Müh. (İ.Ö.),MAT202 Diferansiyel Denklemler,1/24/2024,15:30,E402
Elktr.Hab.Müh. (İ.Ö.),FZK107 Fizik I,1/24/2024,17:30,E403
Elktr.Hab.Müh. (İ.Ö.),EHMS 420 Mikrodenetleyiciler,1/24/2024,17:30,E102
Elek-Elektro Müh.,EEMS317 Yarı İletken Elektroniği,1/25/2024,13:30,E102
Elktr.Hab.Müh.,İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E402
Elktr.Hab.Müh. (İ.Ö.),İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E401
Elktr.Hab.Müh.,SGS004 Mühendisler için Temel Yönetim Becerileri,1/25/2024,16:30,E102
Elktr.Hab.Müh. (İ.Ö.),SGS004 Mühendisler için Temel Yönetim Becerileri,1/25/2024,16:30,E102
Elktr.Hab.Müh. (İ.Ö.),MAT113 Matematik I,1/25/2024,17:30,E203
Elek-Elektro Müh.,KMY004 Genel Kimya,1/26/2024,14:30,E401
Elktr.Hab.Müh.,KMY004 Genel Kimya,1/26/2024,14:30,E402
Elek-Elektro Müh.,EEML207 Sayısal Tasarım Laboratuarı,1/26/2024,15:30,E102
Elktr.Hab.Müh.,EHMBL207 Sayısal Tasarım Laboratuarı,1/26/2024,15:30,E401
Elktr.Hab.Müh. (İ.Ö.),EHMBL207 Sayısal Tasarım Laboratuarı,1/26/2024,15:30,E402
Elktr.Hab.Müh.,EHMB405 Mobil Haberleşme Sistemleri I,1/26/2024,16:30,E401
Elktr.Hab.Müh. (İ.Ö.),EHMB405 Mobil Haberleşme Sistemleri I,1/26/2024,16:30,E402
Elktr.Hab.Müh. (İ.Ö.),KMY004 Genel Kimya,1/26/2024,17:30,E402
